Município ID,Município,Ano,Índice de Envelhecimento
4314134,Paulo Bento - RS,2022,203.59
4314159,Paverama - RS,2010,89.01
4314159,Paverama - RS,2022,131.46
4314175,Pedras Altas - RS,2010,50.47
4314175,Pedras Altas - RS,2022,120.39
4314209,Pedro Osório - RS,2010,85.43
4314209,Pedro Osório - RS,2022,142.97
4314308,Pejuçara - RS,2010,84.51
4314308,Pejuçara - RS,2022,144.95
4314407,Pelotas - RS,2010,76.40
4314407,Pelotas - RS,2022,121.59
4314423,Picada Café - RS,2010,81.50
4314423,Picada Café - RS,2022,136.31
4314456,Pinhal - RS,2010,72.80
4314456,Pinhal - RS,2022,107.38
4314464,Pinhal da Serra - RS,2010,77.11
4314464,Pinhal da Serra - RS,2022,154.88
4314472,Pinhal Grande - RS,2010,67.55
4314472,Pinhal Grande - RS,2022,176.39
4314498,Pinheirinho do Vale - RS,2010,57.93
4314498,Pinheirinho do Vale - RS,2022,107.26
4314506,Pinheiro Machado - RS,2010,89.01
4314506,Pinheiro Machado - RS,2022,154.42
4314548,Pinto Bandeira - RS,2010,...
